iter	Logloss
0	0.6190308913
1	0.560495744
2	0.5152573765
3	0.480599656
4	0.4527673547
5	0.4321774438
6	0.4150867667
7	0.4003346288
8	0.3885826033
9	0.3799789418
10	0.3730686069
11	0.3678931642
12	0.3633057819
13	0.3601709572
14	0.3573298052
15	0.3548791848
16	0.3530823399
17	0.3516647967
18	0.3504091964
19	0.3493912099
20	0.348704586
21	0.3475537932
22	0.3469747617
23	0.3464712316
24	0.3460375827
25	0.3456928298
26	0.3453847083
27	0.3451551442
28	0.3449240125
29	0.3447459866
30	0.3446208446
31	0.3438972863
32	0.3432267583
33	0.3430532904
34	0.3425838466
35	0.3424773996
36	0.3423598802
37	0.3419976465
38	0.341926454
39	0.3418390681
40	0.3417620997
41	0.3414032585
42	0.3410913585
43	0.3408905514
44	0.3408509496
45	0.3408129263
46	0.340767993
47	0.3407487448
48	0.3406662473
49	0.3404107283
50	0.3401891405
51	0.3400676273
52	0.339894418
53	0.3397100844
54	0.3396860336
55	0.3396543959
56	0.3396369324
57	0.3394722284
58	0.3392946602
59	0.3392755396
60	0.3391596409
61	0.3391371923
62	0.3390219743
63	0.3390032768
64	0.3389038062
65	0.3388077501
66	0.3387849371
67	0.3386988764
68	0.3385936109
69	0.3385133861
70	0.338441571
71	0.3384254133
72	0.3383397891
73	0.3382733819
74	0.3382130904
75	0.3381930283
76	0.3381804835
77	0.3381227764
78	0.3380657657
79	0.3380267104
80	0.3379729033
81	0.3379126277
82	0.3378975349
83	0.3378857725
84	0.3378181709
85	0.337768149
86	0.3377547796
87	0.3377008717
88	0.3376875839
89	0.3376220485
90	0.3375548505
91	0.3375460665
92	0.3375133812
93	0.3374824116
94	0.3374422315
95	0.3373889407
96	0.3373840998
97	0.3373771114
98	0.3373642513
99	0.3373158441
100	0.3373060578
101	0.3372968508
102	0.3372603176
103	0.3372235759
104	0.3371817227
105	0.3371519522
106	0.3371343711
107	0.3371285571
108	0.3371194477
109	0.3370661536
110	0.3370192329
111	0.3369998205
112	0.3369734012
113	0.3369547378
114	0.3369461917
115	0.3369258858
116	0.3368985732
117	0.3368922244
